Number of batches:  53220
[train] epoch=0 step=44550 loss=2.1804 lr=9.77e-04
[train] epoch=0 step=44600 loss=2.0928 lr=9.77e-04
[train] epoch=0 step=44650 loss=2.0424 lr=9.77e-04
[train] epoch=0 step=44700 loss=2.1049 lr=9.77e-04
[train] epoch=0 step=44750 loss=2.2485 lr=9.77e-04
[train] epoch=0 step=44800 loss=2.2974 lr=9.77e-04
[train] epoch=0 step=44850 loss=2.1788 lr=9.77e-04
[train] epoch=0 step=44900 loss=2.0535 lr=9.77e-04
[train] epoch=0 step=44950 loss=2.0962 lr=9.77e-04
[train] epoch=0 step=45000 loss=2.1393 lr=9.76e-04
[train] epoch=0 step=45050 loss=2.1720 lr=9.76e-04
[train] epoch=0 step=45100 loss=2.1278 lr=9.76e-04
[train] epoch=0 step=45150 loss=2.1411 lr=9.76e-04
[train] epoch=0 step=45200 loss=2.0733 lr=9.76e-04
[train] epoch=0 step=45250 loss=2.0762 lr=9.76e-04
[train] epoch=0 step=45300 loss=2.1226 lr=9.76e-04
[train] epoch=0 step=45350 loss=2.2026 lr=9.76e-04
[train] epoch=0 step=45400 loss=2.1596 lr=9.76e-04
[train] epoch=0 step=45450 loss=2.0767 lr=9.76e-04
[train] epoch=0 step=45500 loss=2.2264 lr=9.76e-04
[train] epoch=0 step=45550 loss=2.1434 lr=9.76e-04
[train] epoch=0 step=45600 loss=2.0889 lr=9.76e-04
[train] epoch=0 step=45650 loss=2.1469 lr=9.76e-04
[train] epoch=0 step=45700 loss=2.2100 lr=9.76e-04
[train] epoch=0 step=45750 loss=2.0567 lr=9.76e-04
[train] epoch=0 step=45800 loss=2.1186 lr=9.76e-04
[train] epoch=0 step=45850 loss=2.1505 lr=9.76e-04
[train] epoch=0 step=45900 loss=2.1173 lr=9.76e-04
[train] epoch=0 step=45950 loss=2.2538 lr=9.76e-04
[train] epoch=0 step=46000 loss=2.1134 lr=9.76e-04
[train] epoch=0 step=46050 loss=2.1743 lr=9.76e-04
[train] epoch=0 step=46100 loss=2.2112 lr=9.76e-04
[train] epoch=0 step=46150 loss=1.9903 lr=9.76e-04
[train] epoch=0 step=46200 loss=2.0677 lr=9.76e-04
[train] epoch=0 step=46250 loss=2.2091 lr=9.76e-04
[train] epoch=0 step=46300 loss=2.1588 lr=9.76e-04
[train] epoch=0 step=46350 loss=2.1666 lr=9.76e-04
[train] epoch=0 step=46400 loss=2.1758 lr=9.76e-04
[train] epoch=0 step=46450 loss=2.1935 lr=9.76e-04
[train] epoch=0 step=46500 loss=2.1257 lr=9.76e-04
[train] epoch=0 step=46550 loss=2.1714 lr=9.76e-04
[train] epoch=0 step=46600 loss=2.2028 lr=9.76e-04
[train] epoch=0 step=46650 loss=2.1890 lr=9.76e-04
[train] epoch=0 step=46700 loss=2.0485 lr=9.76e-04
[train] epoch=0 step=46750 loss=2.1216 lr=9.76e-04
[train] epoch=0 step=46800 loss=2.1939 lr=9.76e-04
[train] epoch=0 step=46850 loss=2.1748 lr=9.76e-04
[train] epoch=0 step=46900 loss=2.1254 lr=9.76e-04
[train] epoch=0 step=46950 loss=2.0684 lr=9.76e-04
[train] epoch=0 step=47000 loss=2.1531 lr=9.76e-04
[train] epoch=0 step=47050 loss=2.2867 lr=9.76e-04
[train] epoch=0 step=47100 loss=2.1227 lr=9.76e-04
[train] epoch=0 step=47150 loss=2.1041 lr=9.76e-04
[train] epoch=0 step=47200 loss=2.1757 lr=9.76e-04
[train] epoch=0 step=47250 loss=2.2402 lr=9.76e-04
[train] epoch=0 step=47300 loss=2.1132 lr=9.76e-04
[train] epoch=0 step=47350 loss=2.2446 lr=9.76e-04
[train] epoch=0 step=47400 loss=2.1898 lr=9.76e-04
[train] epoch=0 step=47450 loss=2.1056 lr=9.76e-04
[train] epoch=0 step=47500 loss=2.0670 lr=9.76e-04
[train] epoch=0 step=47550 loss=2.1575 lr=9.76e-04
[train] epoch=0 step=47600 loss=2.1169 lr=9.76e-04
[train] epoch=0 step=47650 loss=2.1388 lr=9.76e-04
[train] epoch=0 step=47700 loss=2.1658 lr=9.76e-04
[train] epoch=0 step=47750 loss=2.1159 lr=9.76e-04
[train] epoch=0 step=47800 loss=2.1294 lr=9.76e-04
[train] epoch=0 step=47850 loss=2.1646 lr=9.76e-04
[train] epoch=0 step=47900 loss=2.2700 lr=9.76e-04
[train] epoch=0 step=47950 loss=2.0832 lr=9.76e-04
[train] epoch=0 step=48000 loss=2.1726 lr=9.76e-04
[train] epoch=0 step=48050 loss=2.2163 lr=9.76e-04
[train] epoch=0 step=48100 loss=2.0625 lr=9.76e-04
[train] epoch=0 step=48150 loss=2.1610 lr=9.76e-04
[train] epoch=0 step=48200 loss=2.2398 lr=9.76e-04
[train] epoch=0 step=48250 loss=2.3038 lr=9.76e-04
[train] epoch=0 step=48300 loss=2.1278 lr=9.76e-04
[train] epoch=0 step=48350 loss=2.2650 lr=9.76e-04
[train] epoch=0 step=48400 loss=2.1946 lr=9.76e-04
[train] epoch=0 step=48450 loss=2.2246 lr=9.76e-04
[train] epoch=0 step=48500 loss=2.2655 lr=9.76e-04
[train] epoch=0 step=48550 loss=2.0572 lr=9.76e-04
[train] epoch=0 step=48600 loss=2.1651 lr=9.76e-04
[train] epoch=0 step=48650 loss=2.1602 lr=9.76e-04
[train] epoch=0 step=48700 loss=2.0837 lr=9.76e-04
[train] epoch=0 step=48750 loss=2.1452 lr=9.76e-04
[train] epoch=0 step=48800 loss=2.1529 lr=9.76e-04
[train] epoch=0 step=48850 loss=2.1351 lr=9.76e-04
[train] epoch=0 step=48900 loss=2.2338 lr=9.76e-04
[train] epoch=0 step=48950 loss=2.2280 lr=9.76e-04
[train] epoch=0 step=49000 loss=2.1245 lr=9.76e-04
[train] epoch=0 step=49050 loss=2.1776 lr=9.76e-04
[train] epoch=0 step=49100 loss=2.2119 lr=9.76e-04
[train] epoch=0 step=49150 loss=2.0721 lr=9.76e-04
[train] epoch=0 step=49200 loss=2.2390 lr=9.76e-04
[train] epoch=0 step=49250 loss=2.1058 lr=9.76e-04
[train] epoch=0 step=49300 loss=2.2096 lr=9.76e-04
[train] epoch=0 step=49350 loss=2.1774 lr=9.76e-04
[train] epoch=0 step=49400 loss=2.1545 lr=9.76e-04
[train] epoch=0 step=49450 loss=2.0630 lr=9.76e-04
[train] epoch=0 step=49500 loss=2.1475 lr=9.76e-04
[train] epoch=0 step=49550 loss=2.0358 lr=9.76e-04
[train] epoch=0 step=49600 loss=2.1434 lr=9.76e-04
[train] epoch=0 step=49650 loss=2.1592 lr=9.76e-04
[train] epoch=0 step=49700 loss=2.1626 lr=9.76e-04
[train] epoch=0 step=49750 loss=2.0958 lr=9.76e-04
[train] epoch=0 step=49800 loss=2.1840 lr=9.76e-04
[train] epoch=0 step=49850 loss=2.0787 lr=9.76e-04
[train] epoch=0 step=49900 loss=2.1105 lr=9.76e-04
[train] epoch=0 step=49950 loss=2.0424 lr=9.76e-04
[train] epoch=0 step=50000 loss=2.1811 lr=9.76e-04
[train] epoch=0 step=50050 loss=2.2050 lr=9.76e-04
[train] epoch=0 step=50100 loss=2.2048 lr=9.76e-04
[train] epoch=0 step=50150 loss=2.2462 lr=9.76e-04
[train] epoch=0 step=50200 loss=2.1963 lr=9.76e-04
[train] epoch=0 step=50250 loss=2.2285 lr=9.76e-04
[train] epoch=0 step=50300 loss=2.0873 lr=9.76e-04
[train] epoch=0 step=50350 loss=2.0077 lr=9.76e-04
[train] epoch=0 step=50400 loss=2.1617 lr=9.76e-04
[train] epoch=0 step=50450 loss=2.1034 lr=9.76e-04
[train] epoch=0 step=50500 loss=2.1138 lr=9.76e-04
[train] epoch=0 step=50550 loss=2.2657 lr=9.76e-04
[train] epoch=0 step=50600 loss=2.1483 lr=9.76e-04
[train] epoch=0 step=50650 loss=2.0484 lr=9.76e-04
[train] epoch=0 step=50700 loss=2.0381 lr=9.76e-04
[train] epoch=0 step=50750 loss=2.3103 lr=9.76e-04
[train] epoch=0 step=50800 loss=2.2178 lr=9.76e-04
[train] epoch=0 step=50850 loss=2.1944 lr=9.76e-04
[train] epoch=0 step=50900 loss=2.1322 lr=9.76e-04
[train] epoch=0 step=50950 loss=2.1533 lr=9.76e-04
[train] epoch=0 step=51000 loss=2.2633 lr=9.76e-04
[train] epoch=0 step=51050 loss=2.0696 lr=9.76e-04
[train] epoch=0 step=51100 loss=2.0776 lr=9.76e-04
[train] epoch=0 step=51150 loss=2.0908 lr=9.76e-04
[train] epoch=0 step=51200 loss=2.1320 lr=9.76e-04
[train] epoch=0 step=51250 loss=2.2108 lr=9.76e-04
[train] epoch=0 step=51300 loss=2.1015 lr=9.76e-04
[train] epoch=0 step=51350 loss=2.0751 lr=9.76e-04
[train] epoch=0 step=51400 loss=2.1649 lr=9.76e-04
[train] epoch=0 step=51450 loss=2.2039 lr=9.76e-04
[train] epoch=0 step=51500 loss=2.1815 lr=9.76e-04
[train] epoch=0 step=51550 loss=2.1511 lr=9.76e-04
[train] epoch=0 step=51600 loss=2.1699 lr=9.76e-04
[train] epoch=0 step=51650 loss=2.1144 lr=9.76e-04
[train] epoch=0 step=51700 loss=2.2361 lr=9.76e-04
[train] epoch=0 step=51750 loss=2.1368 lr=9.76e-04
[train] epoch=0 step=51800 loss=2.1816 lr=9.76e-04
[train] epoch=0 step=51850 loss=2.0767 lr=9.76e-04
[train] epoch=0 step=51900 loss=2.1891 lr=9.76e-04
[train] epoch=0 step=51950 loss=2.2350 lr=9.76e-04
[train] epoch=0 step=52000 loss=2.1827 lr=9.76e-04
[train] epoch=0 step=52050 loss=2.1862 lr=9.76e-04
[train] epoch=0 step=52100 loss=2.1863 lr=9.76e-04
[train] epoch=0 step=52150 loss=2.1295 lr=9.76e-04
[train] epoch=0 step=52200 loss=2.2839 lr=9.76e-04
[train] epoch=0 step=52250 loss=2.1440 lr=9.76e-04
[train] epoch=0 step=52300 loss=2.1830 lr=9.76e-04
[train] epoch=0 step=52350 loss=2.1563 lr=9.76e-04
[train] epoch=0 step=52400 loss=2.1943 lr=9.76e-04
[train] epoch=0 step=52450 loss=2.2959 lr=9.76e-04
[train] epoch=0 step=52500 loss=2.0569 lr=9.76e-04
[train] epoch=0 step=52550 loss=2.1997 lr=9.76e-04
[train] epoch=0 step=52600 loss=2.0870 lr=9.76e-04
[train] epoch=0 step=52650 loss=2.1672 lr=9.76e-04
[train] epoch=0 step=52700 loss=2.1374 lr=9.76e-04
[train] epoch=0 step=52750 loss=2.1928 lr=9.76e-04
[train] epoch=0 step=52800 loss=2.1723 lr=9.76e-04
[train] epoch=0 step=52850 loss=2.1731 lr=9.76e-04
[train] epoch=0 step=52900 loss=2.2357 lr=9.76e-04
[train] epoch=0 step=52950 loss=2.0912 lr=9.76e-04
[train] epoch=0 step=53000 loss=2.1863 lr=9.76e-04
[train] epoch=0 step=53050 loss=2.2070 lr=9.76e-04
[train] epoch=0 step=53100 loss=2.2396 lr=9.76e-04
[train] epoch=0 step=53150 loss=2.0932 lr=9.76e-04
[train] epoch=0 step=53200 loss=2.1493 lr=9.76e-04
[val] epoch=0 val_loss=3.2375
[INFO] Saved checkpoint to checkpoints/encoder_pretrain_2026-01-12_19-31-43/best_encoder.pt (step=53220, val_loss=3.2375)
[train] epoch=1 step=53250 loss=2.0736 lr=9.76e-04
[train] epoch=1 step=53300 loss=2.1654 lr=9.76e-04
[train] epoch=1 step=53350 loss=2.1605 lr=9.76e-04
[train] epoch=1 step=53400 loss=2.1796 lr=9.76e-04
[train] epoch=1 step=53450 loss=2.0948 lr=9.76e-04
[train] epoch=1 step=53500 loss=2.2964 lr=9.76e-04
[train] epoch=1 step=53550 loss=2.0996 lr=9.76e-04
[train] epoch=1 step=53600 loss=2.1620 lr=9.76e-04
[train] epoch=1 step=53650 loss=2.1243 lr=9.76e-04
[train] epoch=1 step=53700 loss=2.1848 lr=9.76e-04
[train] epoch=1 step=53750 loss=2.1837 lr=9.76e-04
[train] epoch=1 step=53800 loss=2.2175 lr=9.76e-04
[train] epoch=1 step=53850 loss=2.2322 lr=9.76e-04
[train] epoch=1 step=53900 loss=2.2088 lr=9.76e-04
[train] epoch=1 step=53950 loss=2.1881 lr=9.76e-04
[train] epoch=1 step=54000 loss=2.1050 lr=9.76e-04
[train] epoch=1 step=54050 loss=2.2337 lr=9.76e-04
[train] epoch=1 step=54100 loss=2.0589 lr=9.76e-04
[train] epoch=1 step=54150 loss=2.1113 lr=9.76e-04
[train] epoch=1 step=54200 loss=2.1365 lr=9.76e-04
[train] epoch=1 step=54250 loss=2.0929 lr=9.76e-04
[train] epoch=1 step=54300 loss=2.2397 lr=9.76e-04
[train] epoch=1 step=54350 loss=2.1345 lr=9.76e-04
[train] epoch=1 step=54400 loss=2.1285 lr=9.76e-04
[train] epoch=1 step=54450 loss=2.2044 lr=9.76e-04
[train] epoch=1 step=54500 loss=2.3287 lr=9.76e-04
[train] epoch=1 step=54550 loss=2.1130 lr=9.76e-04
[train] epoch=1 step=54600 loss=2.1796 lr=9.76e-04
[train] epoch=1 step=54650 loss=2.2336 lr=9.76e-04
[train] epoch=1 step=54700 loss=2.2796 lr=9.76e-04
[train] epoch=1 step=54750 loss=2.1881 lr=9.76e-04
[train] epoch=1 step=54800 loss=2.0675 lr=9.76e-04
[train] epoch=1 step=54850 loss=2.0423 lr=9.76e-04
[train] epoch=1 step=54900 loss=2.0687 lr=9.76e-04
[train] epoch=1 step=54950 loss=2.1444 lr=9.76e-04
[train] epoch=1 step=55000 loss=2.1425 lr=9.76e-04
[train] epoch=1 step=55050 loss=2.1920 lr=9.76e-04
[train] epoch=1 step=55100 loss=2.1476 lr=9.76e-04
[train] epoch=1 step=55150 loss=2.2186 lr=9.76e-04
[train] epoch=1 step=55200 loss=2.0999 lr=9.75e-04
[train] epoch=1 step=55250 loss=2.0847 lr=9.75e-04
[train] epoch=1 step=55300 loss=2.1845 lr=9.75e-04
[train] epoch=1 step=55350 loss=2.1691 lr=9.75e-04
[train] epoch=1 step=55400 loss=2.1156 lr=9.75e-04
[train] epoch=1 step=55450 loss=2.1728 lr=9.75e-04
[train] epoch=1 step=55500 loss=2.1327 lr=9.75e-04
[train] epoch=1 step=55550 loss=2.1414 lr=9.75e-04
[train] epoch=1 step=55600 loss=2.1683 lr=9.75e-04
[train] epoch=1 step=55650 loss=2.0068 lr=9.75e-04
[train] epoch=1 step=55700 loss=2.0464 lr=9.75e-04
[train] epoch=1 step=55750 loss=2.1728 lr=9.75e-04
[train] epoch=1 step=55800 loss=2.2588 lr=9.75e-04
[train] epoch=1 step=55850 loss=2.0373 lr=9.75e-04
[train] epoch=1 step=55900 loss=2.2080 lr=9.75e-04
[train] epoch=1 step=55950 loss=2.0825 lr=9.75e-04
[train] epoch=1 step=56000 loss=2.1641 lr=9.75e-04
[train] epoch=1 step=56050 loss=2.1991 lr=9.75e-04
[train] epoch=1 step=56100 loss=2.1929 lr=9.75e-04
[train] epoch=1 step=56150 loss=2.1646 lr=9.75e-04
[train] epoch=1 step=56200 loss=2.2505 lr=9.75e-04
[train] epoch=1 step=56250 loss=2.2708 lr=9.75e-04
[train] epoch=1 step=56300 loss=2.2065 lr=9.75e-04
[train] epoch=1 step=56350 loss=2.1263 lr=9.75e-04
[train] epoch=1 step=56400 loss=2.1186 lr=9.75e-04
[train] epoch=1 step=56450 loss=2.1933 lr=9.75e-04
[train] epoch=1 step=56500 loss=2.2174 lr=9.75e-04
[train] epoch=1 step=56550 loss=2.1791 lr=9.75e-04
[train] epoch=1 step=56600 loss=2.1190 lr=9.75e-04
[train] epoch=1 step=56650 loss=2.1957 lr=9.75e-04
[train] epoch=1 step=56700 loss=2.1382 lr=9.75e-04
[train] epoch=1 step=56750 loss=2.2107 lr=9.75e-04
[train] epoch=1 step=56800 loss=2.1177 lr=9.75e-04
[train] epoch=1 step=56850 loss=2.1539 lr=9.75e-04
[train] epoch=1 step=56900 loss=2.1700 lr=9.75e-04
[train] epoch=1 step=56950 loss=2.1835 lr=9.75e-04
[train] epoch=1 step=57000 loss=2.2578 lr=9.75e-04
[train] epoch=1 step=57050 loss=2.1498 lr=9.75e-04
[train] epoch=1 step=57100 loss=2.0596 lr=9.75e-04
[train] epoch=1 step=57150 loss=2.1986 lr=9.75e-04
[train] epoch=1 step=57200 loss=2.3211 lr=9.75e-04
[train] epoch=1 step=57250 loss=2.1882 lr=9.75e-04
[train] epoch=1 step=57300 loss=2.1982 lr=9.75e-04
[train] epoch=1 step=57350 loss=2.1516 lr=9.75e-04
[train] epoch=1 step=57400 loss=2.1745 lr=9.75e-04
[train] epoch=1 step=57450 loss=2.1137 lr=9.75e-04
[train] epoch=1 step=57500 loss=2.2617 lr=9.75e-04
[train] epoch=1 step=57550 loss=2.2103 lr=9.75e-04
[train] epoch=1 step=57600 loss=2.2062 lr=9.75e-04
[train] epoch=1 step=57650 loss=2.2532 lr=9.75e-04
[train] epoch=1 step=57700 loss=2.1555 lr=9.75e-04
[train] epoch=1 step=57750 loss=2.2441 lr=9.75e-04
[train] epoch=1 step=57800 loss=2.2353 lr=9.75e-04
[train] epoch=1 step=57850 loss=2.0967 lr=9.75e-04
[train] epoch=1 step=57900 loss=2.1168 lr=9.75e-04
[train] epoch=1 step=57950 loss=2.1426 lr=9.75e-04
[train] epoch=1 step=58000 loss=2.1546 lr=9.75e-04
[train] epoch=1 step=58050 loss=2.1215 lr=9.75e-04
[train] epoch=1 step=58100 loss=2.0923 lr=9.75e-04
[train] epoch=1 step=58150 loss=2.0317 lr=9.75e-04
[train] epoch=1 step=58200 loss=2.2089 lr=9.75e-04
[train] epoch=1 step=58250 loss=2.1841 lr=9.75e-04
[train] epoch=1 step=58300 loss=2.2251 lr=9.75e-04
[train] epoch=1 step=58350 loss=2.1326 lr=9.75e-04
[train] epoch=1 step=58400 loss=2.0989 lr=9.75e-04
[train] epoch=1 step=58450 loss=2.0958 lr=9.75e-04
[train] epoch=1 step=58500 loss=2.1082 lr=9.75e-04
[train] epoch=1 step=58550 loss=2.0766 lr=9.75e-04
[train] epoch=1 step=58600 loss=2.1830 lr=9.75e-04
[train] epoch=1 step=58650 loss=2.2110 lr=9.75e-04
[train] epoch=1 step=58700 loss=2.2634 lr=9.75e-04
[train] epoch=1 step=58750 loss=2.1980 lr=9.75e-04
[train] epoch=1 step=58800 loss=2.0140 lr=9.75e-04
[train] epoch=1 step=58850 loss=2.1329 lr=9.75e-04
[train] epoch=1 step=58900 loss=2.1818 lr=9.75e-04
[train] epoch=1 step=58950 loss=2.1487 lr=9.75e-04
[train] epoch=1 step=59000 loss=2.2279 lr=9.75e-04
[train] epoch=1 step=59050 loss=2.1927 lr=9.75e-04
[train] epoch=1 step=59100 loss=2.2474 lr=9.75e-04
[train] epoch=1 step=59150 loss=2.1994 lr=9.75e-04
[train] epoch=1 step=59200 loss=2.0523 lr=9.75e-04
[train] epoch=1 step=59250 loss=2.2564 lr=9.75e-04
[train] epoch=1 step=59300 loss=2.1271 lr=9.75e-04
[train] epoch=1 step=59350 loss=2.1499 lr=9.75e-04
[train] epoch=1 step=59400 loss=2.2374 lr=9.75e-04
[train] epoch=1 step=59450 loss=2.0236 lr=9.75e-04
[train] epoch=1 step=59500 loss=2.2008 lr=9.75e-04
[train] epoch=1 step=59550 loss=2.1180 lr=9.75e-04
[train] epoch=1 step=59600 loss=2.1536 lr=9.75e-04
[train] epoch=1 step=59650 loss=2.1587 lr=9.75e-04
[train] epoch=1 step=59700 loss=2.2342 lr=9.75e-04
[train] epoch=1 step=59750 loss=2.2383 lr=9.75e-04
[train] epoch=1 step=59800 loss=2.1308 lr=9.75e-04
[train] epoch=1 step=59850 loss=2.0642 lr=9.75e-04
[train] epoch=1 step=59900 loss=2.1034 lr=9.75e-04
[train] epoch=1 step=59950 loss=2.1661 lr=9.75e-04
[train] epoch=1 step=60000 loss=2.1700 lr=9.75e-04
[train] epoch=1 step=60050 loss=2.1747 lr=9.75e-04
[train] epoch=1 step=60100 loss=2.1704 lr=9.75e-04
[train] epoch=1 step=60150 loss=2.2234 lr=9.75e-04
[train] epoch=1 step=60200 loss=2.0956 lr=9.75e-04
[train] epoch=1 step=60250 loss=2.2204 lr=9.75e-04
[train] epoch=1 step=60300 loss=2.1955 lr=9.75e-04
[train] epoch=1 step=60350 loss=2.1739 lr=9.75e-04
[train] epoch=1 step=60400 loss=2.2228 lr=9.75e-04
[train] epoch=1 step=60450 loss=2.0103 lr=9.75e-04
[train] epoch=1 step=60500 loss=2.1738 lr=9.75e-04
[train] epoch=1 step=60550 loss=2.1864 lr=9.75e-04
[train] epoch=1 step=60600 loss=2.2112 lr=9.75e-04
[train] epoch=1 step=60650 loss=2.0532 lr=9.75e-04
[train] epoch=1 step=60700 loss=2.1527 lr=9.75e-04
[train] epoch=1 step=60750 loss=2.0764 lr=9.75e-04
[train] epoch=1 step=60800 loss=2.0606 lr=9.75e-04
[train] epoch=1 step=60850 loss=2.1127 lr=9.75e-04
[train] epoch=1 step=60900 loss=2.2222 lr=9.75e-04
[train] epoch=1 step=60950 loss=2.1954 lr=9.75e-04
[train] epoch=1 step=61000 loss=2.1119 lr=9.75e-04
[train] epoch=1 step=61050 loss=2.0947 lr=9.75e-04
[train] epoch=1 step=61100 loss=2.1007 lr=9.75e-04
[train] epoch=1 step=61150 loss=2.0070 lr=9.75e-04
[train] epoch=1 step=61200 loss=2.1855 lr=9.75e-04
[train] epoch=1 step=61250 loss=2.0725 lr=9.75e-04
[train] epoch=1 step=61300 loss=2.1634 lr=9.75e-04
[train] epoch=1 step=61350 loss=2.1631 lr=9.75e-04
[train] epoch=1 step=61400 loss=2.0947 lr=9.75e-04
[train] epoch=1 step=61450 loss=2.1153 lr=9.75e-04
[train] epoch=1 step=61500 loss=2.1167 lr=9.75e-04
[train] epoch=1 step=61550 loss=2.0742 lr=9.75e-04
[train] epoch=1 step=61600 loss=2.2104 lr=9.75e-04
[train] epoch=1 step=61650 loss=2.1131 lr=9.75e-04
[train] epoch=1 step=61700 loss=2.2183 lr=9.75e-04
[train] epoch=1 step=61750 loss=2.1553 lr=9.75e-04
[train] epoch=1 step=61800 loss=2.1303 lr=9.75e-04
[train] epoch=1 step=61850 loss=2.1318 lr=9.75e-04
[train] epoch=1 step=61900 loss=2.1374 lr=9.75e-04
[train] epoch=1 step=61950 loss=2.0368 lr=9.75e-04
[train] epoch=1 step=62000 loss=2.1059 lr=9.75e-04
[train] epoch=1 step=62050 loss=2.0139 lr=9.75e-04
[train] epoch=1 step=62100 loss=1.9768 lr=9.75e-04
[train] epoch=1 step=62150 loss=2.1472 lr=9.75e-04
[train] epoch=1 step=62200 loss=2.1776 lr=9.75e-04
[train] epoch=1 step=62250 loss=2.1096 lr=9.75e-04
[train] epoch=1 step=62300 loss=2.1879 lr=9.75e-04
[train] epoch=1 step=62350 loss=2.2364 lr=9.75e-04
[train] epoch=1 step=62400 loss=2.1959 lr=9.75e-04
[train] epoch=1 step=62450 loss=2.1671 lr=9.75e-04
[train] epoch=1 step=62500 loss=2.2151 lr=9.75e-04
[train] epoch=1 step=62550 loss=2.1682 lr=9.75e-04
[train] epoch=1 step=62600 loss=2.1610 lr=9.75e-04
[train] epoch=1 step=62650 loss=2.1751 lr=9.75e-04
[train] epoch=1 step=62700 loss=2.1300 lr=9.75e-04
[train] epoch=1 step=62750 loss=2.0807 lr=9.75e-04
[train] epoch=1 step=62800 loss=2.2547 lr=9.75e-04
[train] epoch=1 step=62850 loss=2.1040 lr=9.75e-04
[train] epoch=1 step=62900 loss=2.1411 lr=9.75e-04
[train] epoch=1 step=62950 loss=2.1667 lr=9.75e-04
[train] epoch=1 step=63000 loss=2.3020 lr=9.75e-04
[train] epoch=1 step=63050 loss=2.0397 lr=9.75e-04
[train] epoch=1 step=63100 loss=2.1907 lr=9.75e-04
[train] epoch=1 step=63150 loss=2.1487 lr=9.75e-04
[train] epoch=1 step=63200 loss=2.2658 lr=9.75e-04
[train] epoch=1 step=63250 loss=2.0656 lr=9.75e-04
[train] epoch=1 step=63300 loss=2.0280 lr=9.75e-04
[train] epoch=1 step=63350 loss=2.0802 lr=9.75e-04
[train] epoch=1 step=63400 loss=2.1209 lr=9.75e-04
[train] epoch=1 step=63450 loss=2.1730 lr=9.75e-04
[train] epoch=1 step=63500 loss=2.1680 lr=9.75e-04
[train] epoch=1 step=63550 loss=2.2054 lr=9.75e-04
[train] epoch=1 step=63600 loss=2.1179 lr=9.75e-04
[train] epoch=1 step=63650 loss=2.1667 lr=9.75e-04
[train] epoch=1 step=63700 loss=2.1192 lr=9.75e-04
[train] epoch=1 step=63750 loss=2.1454 lr=9.75e-04
[train] epoch=1 step=63800 loss=2.1472 lr=9.75e-04
[train] epoch=1 step=63850 loss=2.1381 lr=9.75e-04
[train] epoch=1 step=63900 loss=2.1541 lr=9.75e-04
[train] epoch=1 step=63950 loss=2.1491 lr=9.75e-04
[train] epoch=1 step=64000 loss=2.0752 lr=9.75e-04
[train] epoch=1 step=64050 loss=2.2056 lr=9.75e-04
[train] epoch=1 step=64100 loss=2.2163 lr=9.75e-04
[train] epoch=1 step=64150 loss=2.2431 lr=9.75e-04
[train] epoch=1 step=64200 loss=2.2606 lr=9.75e-04
[train] epoch=1 step=64250 loss=2.2180 lr=9.75e-04
[train] epoch=1 step=64300 loss=2.2552 lr=9.75e-04
[train] epoch=1 step=64350 loss=2.1656 lr=9.75e-04
[train] epoch=1 step=64400 loss=2.1611 lr=9.75e-04
[train] epoch=1 step=64450 loss=2.1235 lr=9.75e-04
[train] epoch=1 step=64500 loss=2.1098 lr=9.75e-04
[train] epoch=1 step=64550 loss=2.0448 lr=9.75e-04
[train] epoch=1 step=64600 loss=2.2547 lr=9.75e-04
[train] epoch=1 step=64650 loss=2.1716 lr=9.75e-04
[train] epoch=1 step=64700 loss=2.1674 lr=9.75e-04
[train] epoch=1 step=64750 loss=2.1497 lr=9.75e-04
[train] epoch=1 step=64800 loss=2.2677 lr=9.75e-04
[train] epoch=1 step=64850 loss=2.0882 lr=9.75e-04
[train] epoch=1 step=64900 loss=2.0894 lr=9.75e-04
[train] epoch=1 step=64950 loss=2.1681 lr=9.75e-04
[train] epoch=1 step=65000 loss=2.2464 lr=9.75e-04
[train] epoch=1 step=65050 loss=2.0534 lr=9.75e-04
[train] epoch=1 step=65100 loss=2.1835 lr=9.75e-04
[train] epoch=1 step=65150 loss=2.1409 lr=9.75e-04
[train] epoch=1 step=65200 loss=2.2008 lr=9.75e-04
[train] epoch=1 step=65250 loss=2.1379 lr=9.75e-04
[train] epoch=1 step=65300 loss=2.2821 lr=9.75e-04
[train] epoch=1 step=65350 loss=2.1820 lr=9.75e-04
[train] epoch=1 step=65400 loss=2.0636 lr=9.74e-04
[train] epoch=1 step=65450 loss=2.0525 lr=9.74e-04
[train] epoch=1 step=65500 loss=2.2054 lr=9.74e-04
[train] epoch=1 step=65550 loss=2.0890 lr=9.74e-04
[train] epoch=1 step=65600 loss=2.1297 lr=9.74e-04
[train] epoch=1 step=65650 loss=2.1320 lr=9.74e-04
[train] epoch=1 step=65700 loss=2.1731 lr=9.74e-04
[train] epoch=1 step=65750 loss=2.0896 lr=9.74e-04
[train] epoch=1 step=65800 loss=2.0911 lr=9.74e-04
[train] epoch=1 step=65850 loss=2.1423 lr=9.74e-04
[train] epoch=1 step=65900 loss=2.0451 lr=9.74e-04
[train] epoch=1 step=65950 loss=2.1789 lr=9.74e-04
[train] epoch=1 step=66000 loss=2.1091 lr=9.74e-04
[train] epoch=1 step=66050 loss=2.1823 lr=9.74e-04
[train] epoch=1 step=66100 loss=2.3204 lr=9.74e-04
[train] epoch=1 step=66150 loss=2.1174 lr=9.74e-04
[train] epoch=1 step=66200 loss=2.1068 lr=9.74e-04
